path,change_type
TodoX.Web/Services/AiProviders/AiRenderRuntimeServices.cs,added
TodoX.Web/Services/AiProviders/AiOperationLogService.cs,added
TodoX.Web/Services/AiProviders/AiProviderDiagnosticsService.cs,added
TodoX.Web/Services/AiProviders/AiProviderTaskClient.cs,added
TodoX.Web/Services/AiProviders/AiBillingService.cs,modified
TodoX.Web/Program.cs,modified
TodoX.Web/Services/DanceSell/DanceSellPhase2Endpoints.cs,modified
TodoX.Web.Tests/AiCoreRuntimeTask5Tests.cs,added
database/manual/ai-core-reset/39_task5_render_event_contract.sql,added
database/manual/ai-core-reset/40_task5_provider_diagnostics_contract.sql,added
database/manual/ai-core-reset/42_verify_task5_runtime.sql,added
docs/database-refactor/task-5-precheck.md,added
docs/database-refactor/task-5-provider-lease-coverage.csv,added
docs/database-refactor/task-5-provider-lease-coverage.md,added
docs/database-refactor/task-5-workflow-migration.csv,added
docs/database-refactor/task-5-workflow-migration.md,added
docs/database-refactor/task-5-legacy-reference-check.csv,added
docs/database-refactor/task-5-legacy-reference-check.md,added
docs/database-refactor/task-5-sql-execution-log.csv,added
docs/database-refactor/task-5-integration-test-result.md,added
docs/database-refactor/task-5-test-result.md,added
docs/database-refactor/task-5-files-changed.csv,added
docs/database-refactor/task-5-result.md,added
docs/database-refactor/final-provider-render-architecture.md,added
docs/database-refactor/final-provider-render-runbook.md,added
docs/database-refactor/final-deployment-checklist.md,added
docs/database-refactor/final-rollback-checklist.md,added
